locus_tag	ftype	length_bp	gene	EC_number	COG	product
IEABBECL_00001	CDS	411	ydfO		COG5562	putative protein YdfO
IEABBECL_00002	CDS	369				hypothetical protein
IEABBECL_00003	CDS	198				hypothetical protein
IEABBECL_00004	CDS	165				hypothetical protein
IEABBECL_00005	CDS	384				hypothetical protein
IEABBECL_00006	CDS	237				hypothetical protein
IEABBECL_00007	CDS	189				hypothetical protein
IEABBECL_00008	CDS	207				hypothetical protein
IEABBECL_00009	CDS	612				hypothetical protein
IEABBECL_00010	CDS	888				hypothetical protein
IEABBECL_00011	CDS	516				hypothetical protein
IEABBECL_00012	CDS	291				hypothetical protein
IEABBECL_00013	CDS	681				hypothetical protein
IEABBECL_00014	CDS	336				hypothetical protein
IEABBECL_00015	CDS	582				hypothetical protein
IEABBECL_00016	CDS	126				hypothetical protein
IEABBECL_00017	CDS	288				hypothetical protein
IEABBECL_00018	CDS	327				hypothetical protein
IEABBECL_00019	CDS	483				hypothetical protein
IEABBECL_00020	CDS	201				hypothetical protein
IEABBECL_00021	CDS	294				hypothetical protein
IEABBECL_00022	CDS	240				hypothetical protein
IEABBECL_00023	CDS	198				hypothetical protein
IEABBECL_00024	CDS	786				hypothetical protein
IEABBECL_00025	CDS	120				hypothetical protein
IEABBECL_00026	CDS	264				hypothetical protein
IEABBECL_00027	CDS	264				hypothetical protein
IEABBECL_00028	CDS	183				hypothetical protein
IEABBECL_00029	CDS	192				hypothetical protein
IEABBECL_00030	CDS	216				hypothetical protein
IEABBECL_00031	CDS	414				hypothetical protein
IEABBECL_00032	CDS	105				hypothetical protein
IEABBECL_00033	CDS	168				hypothetical protein
IEABBECL_00034	CDS	309				hypothetical protein
IEABBECL_00035	CDS	195				hypothetical protein
IEABBECL_00036	CDS	171				hypothetical protein
IEABBECL_00037	CDS	267				hypothetical protein
IEABBECL_00038	CDS	108				hypothetical protein
IEABBECL_00039	CDS	105				hypothetical protein
IEABBECL_00040	CDS	246				hypothetical protein
IEABBECL_00041	CDS	177				hypothetical protein
IEABBECL_00042	CDS	405				hypothetical protein
IEABBECL_00043	CDS	480				hypothetical protein
IEABBECL_00044	CDS	1059				hypothetical protein
IEABBECL_00045	CDS	402				hypothetical protein
IEABBECL_00046	CDS	180				hypothetical protein
IEABBECL_00047	CDS	696				hypothetical protein
IEABBECL_00048	CDS	375				hypothetical protein
IEABBECL_00049	CDS	558				hypothetical protein
IEABBECL_00050	CDS	420				hypothetical protein
IEABBECL_00051	CDS	438				hypothetical protein
IEABBECL_00052	CDS	246				hypothetical protein
IEABBECL_00053	CDS	141				hypothetical protein
IEABBECL_00054	CDS	303				hypothetical protein
IEABBECL_00055	CDS	456				hypothetical protein
IEABBECL_00056	CDS	210				hypothetical protein
IEABBECL_00057	CDS	198				hypothetical protein
IEABBECL_00058	CDS	198				hypothetical protein
IEABBECL_00059	CDS	327				hypothetical protein
IEABBECL_00060	CDS	645				hypothetical protein
IEABBECL_00061	CDS	243				hypothetical protein
IEABBECL_00062	CDS	1146				hypothetical protein
IEABBECL_00063	CDS	144				hypothetical protein
IEABBECL_00064	CDS	435				hypothetical protein
IEABBECL_00065	CDS	417				hypothetical protein
IEABBECL_00066	CDS	486				hypothetical protein
IEABBECL_00067	CDS	126				hypothetical protein
IEABBECL_00068	CDS	156				hypothetical protein
IEABBECL_00069	CDS	189				hypothetical protein
IEABBECL_00070	CDS	354				hypothetical protein
IEABBECL_00071	CDS	399				hypothetical protein
IEABBECL_00072	CDS	927				hypothetical protein
IEABBECL_00073	CDS	351				hypothetical protein
IEABBECL_00074	CDS	150				hypothetical protein
IEABBECL_00075	CDS	1020				hypothetical protein
IEABBECL_00076	CDS	189				hypothetical protein
IEABBECL_00077	CDS	207				hypothetical protein
IEABBECL_00078	CDS	735				hypothetical protein
IEABBECL_00079	CDS	408				hypothetical protein
IEABBECL_00080	CDS	168				hypothetical protein
IEABBECL_00081	CDS	510				hypothetical protein
IEABBECL_00082	CDS	651				hypothetical protein
