#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_29	4681059	21	Y	N	2	*	29
contig_2	3179384	15	N	N	1	*	*,2,*
contig_22	1866219	7	N	N	1	*	*,22
contig_42	1553714	15	Y	N	1	*	42
contig_23	1016282	8	N	N	1	*	23,*
contig_33	574774	7	N	N	1	*	*,33,*
contig_6	484736	5	N	N	1	*	*,6,*
contig_12	386387	5	N	N	1	*	*,12,*
contig_4	342477	6	N	N	1	*	*,4,*
contig_18	333800	4	N	N	1	*	*,18,*
contig_10	320081	14	Y	N	1	*	10
contig_9	302871	13	N	N	1	*	*,9,*
contig_15	278515	5	N	N	1	*	*,15,*
contig_25	278157	5	N	N	1	*	*,25,*
contig_24	276169	7	N	N	1	*	24,*
contig_35	240688	7	N	N	1	*	*,35,*
contig_11	240001	4	N	N	1	*	*,11,*
contig_20	177054	4	N	N	1	*	*,20,*
contig_27	174482	3	N	N	1	*	*,27,*
contig_8	170255	4	N	N	1	*	*,8,*
contig_28	169805	4	N	N	1	*	*,28,*
contig_34	138358	5	N	N	1	*	*,34,*
contig_26	124773	3	N	N	1	*	*,26,*
contig_14	117896	3	N	N	1	*	*,14,*
contig_1	99708	3	N	N	1	*	*,1,*
contig_19	97669	4	N	N	1	*	*,19,*
contig_32	97157	10	N	N	1	*	*,32,*
contig_31	97121	4	N	N	1	*	*,31,*
contig_17	78353	5	N	N	1	*	*,17,*
contig_16	77083	6	N	N	1	*	*,16,*
contig_37	77013	3	N	N	1	*	*,37,*
contig_30	61100	3	N	N	1	*	*,30,*
contig_41	57581	4	N	N	1	*	*,41,*
contig_21	51358	8	N	N	1	*	*,21,*
contig_3	43207	4	N	N	1	*	*,3,*
contig_5	29375	4	N	N	1	*	*,5,*
contig_36	27473	3	N	N	1	*	*,36,*
contig_40	12798	6	N	N	1	*	*,40,*
contig_7	11769	16	N	N	2	*	*,7,*
contig_43	5088	9	Y	Y	1	*	43
contig_39	1251	14	N	Y	7	*	39
